,sicbro_id,RA_DEG,DEC_DEG,MEAN_XCOL,MEAN_YCOL,F062,F087,F106,F129,F158,F184,F213,F146,transitHost,dimEB,blendedEB,lowmassEB,lowRedNoise,hiRedNoise,variable,F087_flux,F087_flux_err,F146_flux,F146_flux_err,F213_flux,F213_flux_err
0,485,268.4927089740116,-29.20545274324417,1942.5610962780172,1956.7741631719744,21.3311,20.1337,19.6439,19.154,18.967,19.0737,19.1804,19.0845,0,0,0,0,0,0,0,916.1501734299479,30.26797273406245,2407.9455832539843,49.070822117160255,2204.3810459461606,46.950836477598145
1,680,268.48874803548097,-29.20602591283788,1853.014049529004,1880.4569229468448,25.2901,23.5623,22.7456,21.9289,21.7775,21.84,21.9026,21.8631,0,0,0,0,0,0,0,38.951722554189544,6.241131512329278,186.29734608077558,13.64907857991797,179.64149809799696,13.403040628827362
2,1162,268.48880946925647,-29.203069040838763,1806.066896374036,1968.475945165869,24.0901,22.5772,21.9301,21.2831,21.1294,21.1996,21.2699,21.219,1,0,0,0,0,1,1,96.50874501313442,9.823886451559506,337.1682471454952,18.362141681881642,321.72637685259406,17.936732613622638
3,1402,268.49296781526385,-29.20300317041001,1908.8656201409392,2032.8137271480268,22.8722,21.501,20.93,20.359,20.1942,20.2826,20.3711,20.2955,1,0,0,0,0,0,1,260.04389845336317,16.12587667239717,789.3082972411728,28.094631110608532,736.2184012939006,27.133344823185745
4,1433,268.49069561928843,-29.203728108177494,1863.990076704323,1977.3651945018307,24.1743,22.5717,21.864,21.1562,20.9984,21.0614,21.1243,21.0867,0,0,0,0,0,0,0,96.99886848588524,9.848800357702721,380.8611445047468,19.515664080546856,367.8973572625615,19.180650595393303
5,1974,268.49078512901457,-29.20182686845468,1835.0537022690844,2034.711510822646,21.4246,20.5647,20.197,19.8293,19.7029,19.8052,19.9075,19.7944,0,0,0,0,0,0,0,615.9800803995805,24.81894599695121,1252.2373931775846,35.38696643084265,1128.3573654701086,33.591031027196955
6,2164,268.4887984447447,-29.20225896504458,1792.5092501977012,1992.1719879181503,23.3617,21.9522,21.355,20.7578,20.604,20.6749,20.7458,20.6939,1,0,0,0,0,1,1,171.6195141455535,13.100363130293507,546.8732342961563,23.385320914970492,521.3467471119437,22.83301879103908
7,2652,268.488406182015,-29.204329117126672,1816.653295290798,1925.3077269458452,24.1642,22.688,22.0149,21.3417,21.1893,21.2609,21.3325,21.2789,1,0,0,0,0,0,1,87.14584154952905,9.335193707124082,319.0705112084406,17.862544925302235,303.70131204300776,17.427028204573716
8,2825,268.49006368025937,-29.20464652976817,1863.2623275647588,1940.829653037663,22.4392,21.2533,20.7924,20.3314,20.1195,20.2237,20.3278,20.2459,0,0,0,0,0,0,0,326.68310004216585,18.074376892224137,826.202810813965,28.743743855210738,766.1726909293232,27.679824618832452
9,2854,268.48923284950587,-29.20405930097624,1832.8796635885435,1945.6600698900363,25.9405,24.2425,23.5221,22.8017,22.6246,22.6717,22.7187,22.7143,0,0,0,0,0,0,0,20.81836737637077,4.562714912896791,85.06025261254207,9.222811535130818,84.71623924238604,9.20414250445885
10,3410,268.48892282457973,-29.208940992675675,1905.1766761563829,1797.213503818791,22.8245,21.5396,21.0209,20.5021,20.2901,20.387,20.4838,20.4136,0,0,0,0,0,0,0,250.96124959584583,15.841756518639144,707.9566542562063,26.607454862429183,663.6310049723329,25.76103656634051
11,4044,268.4927380263599,-29.20861786747522,1995.1801145347824,1863.9768306950969,23.262,21.9485,21.3471,20.7457,20.5495,20.6479,20.7463,20.6674,1,0,0,0,0,1,1,172.20536124276242,13.122704037002528,560.3852145532286,23.672456876150996,521.106713336368,22.827761899414668
12,4097,268.4880962464508,-29.20355677158098,1796.247318720894,1943.4069281055608,25.7747,24.1754,23.4801,22.7848,22.6223,22.6803,22.7384,22.7105,0,0,0,0,0,0,0,22.14556006547916,4.705906933363553,85.35847906777693,9.238965259582749,83.1929775102957,9.121018446988018
13,4341,268.4874742698126,-29.207950237856505,1852.748185818044,1804.6611505642072,25.0783,23.5025,22.8282,22.1538,21.9855,22.0504,22.1152,22.0788,0,0,0,0,0,0,0,41.15728025978016,6.415394006589163,152.73081461721563,12.358430912426368,147.69529757046732,12.15299541555362
14,5021,268.4902150258793,-29.209643755588758,1948.9772647958105,1795.902079962159,23.5661,22.1347,21.5507,20.9666,20.7495,20.8311,20.9126,20.869,1,0,0,0,0,1,1,145.0663447239238,12.04434907846513,465.42174288337867,21.573635365495974,447.10205720841134,21.144787944276278
15,5073,268.4947566160481,-29.20516977125349,1989.073014578871,1995.8332047198464,21.9818,20.9048,20.464,20.0233,19.7826,19.8985,20.0145,19.9252,0,0,0,0,0,0,0,450.32563299368564,21.220877290858773,1110.1116699279476,33.31833834283978,1022.460803567754,31.975941011450374
16,5080,268.48714885617824,-29.207312121185776,1834.1566248973709,1818.5742933174247,17.2532,16.9228,16.8509,16.779,16.8214,16.9954,17.1694,16.8741,0,0,0,0,0,0,0,17633.01870261149,132.78937722051222,18441.94269303913,135.80111447642517,14050.334643122344,118.53410750970517
17,5341,268.4904133735474,-29.20301702843588,1845.2806194724312,1994.0756324655888,21.1559,20.2084,19.8082,19.408,19.1492,19.2739,19.3985,19.3026,0,0,0,0,0,0,0,855.2373677025294,29.244441654826126,1969.729857869507,44.38163874700333,1803.2114988471465,42.464237881388456
18,5423,268.495023125005,-29.206872967264704,2023.6541323716224,1949.6613053267024,18.1558,17.7457,17.555,17.3643,17.2698,17.432,17.5943,17.3725,0,0,0,0,0,0,0,8263.550170143208,90.90407125174981,11653.239389641356,107.95017086434535,9500.06699898788,97.46828714503954
19,5633,268.4939960084126,-29.205199356824675,1970.5575700014856,1983.549337950156,22.1802,21.0076,20.5114,20.0151,19.7574,19.8693,19.9812,19.9052,0,0,0,0,0,0,0,409.6440659900452,20.239665659047958,1130.7501867669819,33.62662913179051,1054.3059759146963,32.470078163051845
20,5749,268.4921597349727,-29.209933648286327,2002.3074753531048,1816.541947083754,18.6203,18.1633,17.9349,17.7064,17.5832,17.74,17.8969,17.6952,0,0,0,0,0,0,0,5625.05363941615,75.00035759525517,8656.985062530714,93.04292053955912,7189.301020148417,84.78974596110321
21,5842,268.4880636902713,-29.205580636647944,1828.618319598216,1883.303945456528,24.5221,22.94,22.2609,21.5818,21.4102,21.472,21.5338,21.5035,0,0,0,0,0,0,0,69.09500747511528,8.312340673667993,259.4458140835863,16.107321753897708,252.30547116003837,15.88412638957643
22,5927,268.49224470135465,-29.2027645555708,1886.8893127121864,2028.9921326936096,22.4802,21.6225,21.2519,20.8814,20.7458,20.8476,20.9494,20.8408,1,0,0,0,1,0,1,232.5126940146236,15.248366929432922,477.66857216241453,21.855630216546366,432.2018964174958,20.789465996448676
23,6371,268.4905072426607,-29.202129066853654,1833.0666216679676,2021.64007241468,26.4569,24.736,24.009,23.282,23.0961,23.1422,23.1884,23.1889,0,0,0,0,0,0,0,13.214376247933602,3.635158352525183,54.93974864545344,7.412135228492087,54.96505516129553,7.413842132207533
24,6788,268.4905044833773,-29.206572702765,1905.8550350789444,1890.7064723400435,21.4109,20.4016,19.951,19.5003,19.3055,19.3976,19.4897,19.4203,0,1,0,0,0,0,1,715.8246805881699,26.75490012293393,1767.3667008753046,42.04006066688421,1657.9318249211697,40.717708984189784
25,7780,268.49455808807943,-29.20589546467442,1996.0113096074065,1971.477913835378,25.3271,23.7133,23.0458,22.3784,22.186,22.2455,22.3049,22.2867,0,0,0,0,0,0,0,33.894299926126536,5.821881132943761,126.114977909,11.230092515602887,124.0185553668971,11.13636185506277
