,star_id,planet_id,transit_period,transit_t0_BRJD,transit_rp_rstar,transit_a_rstar,transit_inc,transit_ecc,transit_w,transit_limb1_F146,transit_limb2_F146,transit_limb1_F087,transit_limb2_F087,transit_limb1_F213,transit_limb2_F213,transit_fp_fstar_F146,transit_fp_fstar_F087,transit_fp_fstar_F213,transit_t0_sec,planet_n_transits,planet_est_transit_snr,planet_radius,planet_sma,planet_impact,planet_teff_eq,star_n_planets,star_mass,star_radius,star_teff,star_logg,star_met,star_Mbol,star_dist,star_Av,F146,F062,F087,F106,F129,F158,F184,F213
0,992,992.01,22.309497,109.15984,0.087227,89.272319,89.6958,0.2365,290.6,-0.0011,0.3035,0.2343,0.3987,-0.0049,0.2593,0.0,0.0,0.0,99.216124,3.0,3.7,2.09,0.0913,0.474,233.0,1,0.204,0.22,3194.0,5.02,-0.064,10.61,1.4718,0.5537702604531894,20.6162,23.4039,21.923,21.3025,20.6821,20.5238,20.5966,20.6694
1,1162,1162.01,12.877802,116.463633,0.122008,74.74144,89.9823,0.1928,234.5,-0.0011,0.3035,0.2343,0.3987,-0.0049,0.2593,0.0,0.0,0.0,121.97633,5.0,5.1,2.24,0.0584,0.0231,249.0,1,0.16,0.168,3124.0,5.08,0.127,11.287,1.5375,0.5152166105953754,21.219,24.0901,22.5772,21.9301,21.2831,21.1294,21.1996,21.2699
2,1402,1402.01,1.860683,105.82885,0.114076,16.326604,88.0672,0.0203,106.9,-0.0011,0.3035,0.2343,0.3987,-0.0049,0.2593,0.0,0.0,0.0,106.75242,38.0,19.4,2.97,0.0181,0.5506,553.0,2,0.23,0.239,3244.0,5.01,0.113,10.357,1.6271,0.4600148103710936,20.2955,22.8722,21.501,20.93,20.359,20.1942,20.2826,20.3711
3,1402,1402.02,18.981238,118.055001,0.131633,76.794593,89.819,0.0453,233.1,-0.0011,0.3035,0.2343,0.3987,-0.0049,0.2593,0.0,0.0,0.0,127.21716,4.0,12.3,3.43,0.0854,0.2426,255.0,2,0.23,0.239,3244.0,5.01,0.113,10.357,1.6271,0.4600148103710936,20.2955,22.8722,21.501,20.93,20.359,20.1942,20.2826,20.3711
4,2164,2164.01,19.975283,121.095768,0.101033,78.411338,89.4225,0.1161,240.7,-0.0011,0.3035,0.2343,0.3987,-0.0049,0.2593,0.0,0.0,0.0,130.3575,3.0,4.7,2.74,0.0908,0.7903,254.0,1,0.25,0.249,3271.0,5.01,-0.0,10.234,1.8336,0.6291250408249168,20.6939,23.3617,21.9522,21.355,20.7578,20.604,20.6749,20.7458
5,2652,2652.01,2.332071,106.14148,0.119263,21.918821,89.2544,0.0145,251.2,-0.0011,0.3035,0.2343,0.3987,-0.0049,0.2593,0.0,0.0,0.0,107.300811,30.0,10.8,2.47,0.0194,0.2852,464.0,1,0.178,0.19,3153.0,5.07,0.291,10.981,1.9436,0.5835616791784414,21.2789,24.1642,22.688,22.0149,21.3417,21.1893,21.2609,21.3325
6,4044,4044.01,4.215896,108.772096,0.069,26.620635,88.2192,0.0019,268.9,-0.0011,0.3035,0.2343,0.3987,-0.0049,0.2593,0.0,0.0,0.0,110.880334,16.0,4.3,2.03,0.0334,0.8273,444.0,2,0.28,0.27,3325.0,4.97,0.306,9.985,2.1772,0.5787424598895382,20.6674,23.262,21.9485,21.3471,20.7457,20.5495,20.6479,20.7463
7,4044,4044.02,24.69881,118.696006,0.165476,86.511899,89.8834,0.2265,58.0,-0.0011,0.3035,0.2343,0.3987,-0.0049,0.2593,0.0,0.0,0.0,108.264032,3.0,14.5,4.87,0.1086,0.176,246.0,2,0.28,0.27,3325.0,4.97,0.306,9.985,2.1772,0.5787424598895382,20.6674,23.262,21.9485,21.3471,20.7457,20.5495,20.6479,20.7463
8,5021,5021.01,3.984614,106.617744,0.140142,25.806896,89.4423,0.0783,165.1,-0.0011,0.3035,0.2343,0.3987,-0.0049,0.2593,0.0,0.0,0.0,108.418623,18.0,14.5,4.05,0.0318,0.2512,449.0,3,0.27,0.265,3312.0,4.99,0.148,10.048,2.3117,0.9235345549765768,20.869,23.5661,22.1347,21.5507,20.9666,20.7495,20.8311,20.9126
9,5021,5021.02,16.548581,114.120565,0.162491,66.678446,89.5501,0.0746,97.0,-0.0011,0.3035,0.2343,0.3987,-0.0049,0.2593,0.0,0.0,0.0,122.300176,4.0,11.6,4.7,0.0822,0.5236,279.0,3,0.27,0.265,3312.0,4.99,0.148,10.048,2.3117,0.9235345549765768,20.869,23.5661,22.1347,21.5507,20.9666,20.7495,20.8311,20.9126
10,5021,5021.03,21.241302,123.186672,0.185798,78.75275,89.3772,0.109,125.2,-0.0011,0.3035,0.2343,0.3987,-0.0049,0.2593,0.0,0.0,0.0,132.954962,3.0,13.7,5.37,0.0971,0.856,257.0,3,0.27,0.265,3312.0,4.99,0.148,10.048,2.3117,0.9235345549765768,20.869,23.5661,22.1347,21.5507,20.9666,20.7495,20.8311,20.9126
11,5927,5927.01,21.315252,116.798892,0.245407,70.613045,89.9083,0.1873,333.4,0.0581,0.2585,0.246,0.3528,0.0448,0.2215,0.0,0.0,0.0,108.411485,3.0,30.0,8.51,0.1044,0.113,301.0,1,0.334,0.318,3673.0,4.96,-1.048,9.203,2.4231,0.7097371703215225,20.8408,22.4802,21.6225,21.2519,20.8814,20.7458,20.8476,20.9494
12,7908,7908.01,14.179822,107.036182,0.120337,64.865649,89.7324,0.0846,127.6,-0.0011,0.3035,0.2343,0.3987,-0.0049,0.2593,0.0,0.0,0.0,113.660166,5.0,4.0,2.97,0.0682,0.303,274.0,1,0.21,0.226,3203.0,5.03,0.178,10.537,2.6315,0.8968098361963273,21.639,24.5531,23.0198,22.3743,21.7287,21.5332,21.6021,21.6711
13,8550,8550.01,27.793272,111.329116,0.164285,98.38071,89.7177,0.0154,177.5,-0.0011,0.3035,0.2343,0.3987,-0.0049,0.2593,0.0,0.0,0.0,124.955337,3.0,7.1,4.37,0.1117,0.4848,226.0,1,0.24,0.244,3258.0,5.01,0.074,10.295,2.6932,0.9178391282424292,21.6953,24.5,23.0021,22.394,21.786,21.5879,21.6582,21.7286
14,8866,8866.01,1.33168,105.276298,0.114763,11.821084,85.8305,0.1418,189.3,-0.0011,0.3035,0.2343,0.3987,-0.0049,0.2593,0.0,0.0,3e-06,105.824039,53.0,14.9,3.57,0.0157,0.8595,724.0,4,0.289,0.285,3614.0,4.99,-0.485,9.505,2.7181,0.9187152834609676,21.0994,23.0919,22.0253,21.5934,21.1616,21.0027,21.0856,21.1684
15,8866,8866.02,15.340265,119.169505,0.141222,60.294715,89.9121,0.1109,83.8,-0.0011,0.3035,0.2343,0.3987,-0.0049,0.2593,0.0,0.0,0.0,111.618767,4.0,9.3,4.39,0.0799,0.0925,321.0,4,0.289,0.285,3614.0,4.99,-0.485,9.505,2.7181,0.9187152834609676,21.0994,23.0919,22.0253,21.5934,21.1616,21.0027,21.0856,21.1684
